@relation annotated_features-weka.filters.unsupervised.attribute.Remove-R1

@attribute followers_count numeric
@attribute following_count numeric
@attribute bio_pronouns_count numeric
@attribute bio_NNP_tags numeric
@attribute bio_PRP_tags numeric
@attribute bio_Yes_freq_terms numeric
@attribute bio_No_freq_terms numeric
@attribute bio_auto_Yes_freq_terms numeric
@attribute name_auto_Yes_freq_terms numeric
@attribute bio_auto_No_freq_terms numeric
@attribute name_auto_No_freq_terms numeric
@attribute class {yes,no}

@data
349,1014,3,9,1,2,0,22,2,0,0,yes
362,634,1,7,1,0,0,28,5,0,0,yes
14,28,0,1,0,0,0,8,2,0,0,yes
42,171,2,4,0,1,0,13,2,1,0,yes
56,123,1,3,0,1,0,18,2,0,0,yes
103,142,0,6,0,0,0,15,1,0,0,yes
21,463,0,7,0,0,0,6,2,0,0,yes
564,527,0,11,0,0,0,11,3,0,0,yes
305,405,0,4,0,0,0,2,2,0,0,yes
22,49,0,1,0,1,0,6,2,0,0,yes
79,584,3,0,2,0,0,6,1,1,0,yes
175,387,0,8,0,0,0,9,2,0,0,yes
87,158,1,9,1,1,0,17,2,0,0,yes
248,293,0,3,0,0,0,1,2,0,0,yes
107,772,0,0,0,1,1,15,2,1,0,yes
49,41,2,8,1,1,0,11,1,0,0,yes
107,173,0,2,0,0,0,1,0,15,2,no
240,174,2,6,0,2,0,16,2,0,0,yes
209,292,1,0,1,0,0,6,2,0,0,yes
870,1996,2,0,1,0,0,2,1,1,0,yes
41,73,3,1,0,7,0,13,2,0,0,yes
24,64,0,2,0,1,1,9,1,1,0,yes
20,85,2,0,0,1,0,9,2,0,0,yes
34,34,1,13,1,0,0,3,0,10,2,no
173,273,0,0,0,1,0,4,2,0,0,yes
550,519,0,5,0,0,0,4,2,0,0,yes
13,97,1,7,1,0,0,7,3,0,0,yes
36,257,1,2,1,1,0,8,2,0,0,yes
35,243,0,0,0,1,0,9,1,0,0,yes
334,1024,1,1,1,0,0,12,2,1,0,yes
809,921,1,4,0,0,0,9,2,0,0,yes
370,763,0,14,0,0,0,13,1,0,0,yes
152,173,1,25,0,0,0,16,2,0,0,yes
12,150,0,1,0,1,0,7,2,0,0,yes
508,443,0,2,0,0,0,8,2,1,0,yes
