@relation features-weka.filters.unsupervised.attribute.Remove-R1

@attribute followers_count numeric
@attribute following_count numeric
@attribute bio_pronouns_count numeric
@attribute bio_NNP_tags numeric
@attribute bio_PRP_tags numeric
@attribute bio_Yes_freq_terms numeric
@attribute bio_No_freq_terms numeric
@attribute bio_auto_Yes_freq_terms numeric
@attribute name_auto_Yes_freq_terms numeric
@attribute bio_auto_No_freq_terms numeric
@attribute name_auto_No_freq_terms numeric
@attribute class {yes,no}

@data
948,99,1,2,0,0,0,6,0,2,0,?
929,53,1,5,0,2,0,13,1,1,0,?
928,1264,0,4,0,0,0,10,1,1,0,?
923,16,0,5,0,0,0,3,0,0,0,?
923,1011,1,1,1,1,0,3,1,1,0,?
915,770,0,2,0,0,0,4,0,1,0,?
914,1924,2,9,0,0,0,7,0,1,0,?
896,1701,3,1,0,1,0,9,0,1,0,?
896,1700,5,4,3,2,0,16,0,2,0,?
900,1759,0,2,0,0,0,6,0,1,0,?
896,1124,0,13,0,0,0,8,1,0,0,?
889,90,2,1,1,0,0,13,0,0,0,?
887,1966,1,6,0,0,0,2,1,2,0,?
876,324,0,0,0,0,0,5,2,0,0,?
876,1302,0,1,0,0,0,0,0,0,0,?
873,896,0,9,0,0,0,6,0,1,0,?
870,17,5,3,4,0,0,17,0,0,0,?
868,376,2,4,2,1,0,14,0,1,0,?
865,1993,0,12,0,2,1,4,0,0,0,?
861,169,3,3,0,1,1,9,0,2,0,?
861,1762,2,7,1,0,0,3,0,0,0,?
856,2023,4,6,3,1,0,15,1,0,0,?
854,854,0,2,0,2,2,8,0,0,0,?
852,1850,0,16,0,0,0,13,0,0,0,?
847,1438,0,5,0,0,0,5,0,0,1,?
843,1670,3,5,3,0,0,8,1,0,0,?
840,1978,0,0,0,0,0,0,0,0,0,?
839,1675,2,0,1,0,0,10,0,1,0,?
837,1406,1,4,0,1,0,7,0,0,0,?
835,1570,0,2,0,0,0,4,0,0,0,?
824,1112,2,4,1,0,0,10,0,0,0,?
821,83,3,5,1,3,0,17,0,0,0,?
817,412,0,14,0,0,0,12,0,1,0,?
815,1939,1,6,0,1,0,13,0,0,0,?
809,1886,0,3,0,0,0,8,0,1,0,?
805,1096,0,0,0,0,0,0,1,0,0,?
