screen_name,followers_count,following_count,bio_pronouns_count,bio_NNP_tags,bio_PRP_tags,bio_Yes_freq_terms,bio_No_freq_terms,bio_auto_Yes_freq_terms,name_auto_Yes_freq_terms,bio_auto_No_freq_terms,name_auto_No_freq_terms,class
@drandrewadler,47,92,1,1,0,1,1,10,2,1,0,yes
@hallewisniewski,233,203,0,3,0,0,0,1,1,0,0,yes
@nursie6,750,1112,1,5,0,0,0,14,2,0,0,yes
@Blondie3090,111,221,0,8,0,0,0,13,2,0,0,yes
@kissmyfattyfat,44,124,3,1,3,0,0,19,1,2,0,yes
@cambriahandy,309,156,0,0,0,1,0,5,1,0,0,yes
@kristenfudge,200,173,0,0,0,0,1,4,2,0,0,yes
@MareBear2014,363,129,1,7,1,0,0,15,2,0,0,yes
@bone__health,1506,1740,0,13,0,0,0,14,2,0,0,yes
@MrsSLWilson,253,607,0,2,0,1,0,8,3,0,0,yes
@VrableHealth,30,49,0,15,0,0,0,16,2,0,0,yes
@polo_ss365,305,348,0,3,0,0,0,13,2,0,0,yes
@Leonafoster62,152,1078,1,7,0,1,0,19,2,0,0,yes
@HPNRC,92,129,0,4,0,0,0,14,3,0,0,yes
@redearlybird,60,67,0,1,0,1,2,8,3,1,0,yes
@NurseOkanyks,28,212,1,0,0,1,0,10,1,0,0,yes
@mac_rhona,430,613,3,8,0,0,0,19,2,1,0,yes
@CarterZara,168,383,3,11,4,0,0,21,2,0,0,yes
@coley__x,98,565,0,1,0,1,0,9,1,0,0,yes
@jailnurse1331,157,510,0,1,0,0,0,8,1,1,0,yes
@jodyjyoung,66,216,0,3,0,0,0,7,2,1,0,yes
@janicekoro,66,197,0,0,0,1,0,5,1,0,0,yes
@___M23S,466,402,0,2,0,0,0,0,0,6,1,no
@calebmiguel,47,515,0,1,0,0,0,4,2,0,0,yes
@alymae47,86,342,0,2,0,1,0,9,2,0,0,yes
@Dbeck13010,803,626,0,14,0,0,0,19,2,0,0,yes
@bouchieball,15,127,0,0,0,0,0,2,2,2,0,yes
@CakesbyFionaMac,349,1014,3,9,1,2,0,22,2,0,0,yes
@sarahkayeklein,362,634,1,7,1,0,0,28,5,0,0,yes
@sunnysuey,14,28,0,1,0,0,0,8,2,0,0,yes
@MoopMoopz,42,171,2,4,0,1,0,13,2,1,0,yes
@anniestoph,56,123,1,3,0,1,0,18,2,0,0,yes
@exquisjewellery,103,142,0,6,0,0,0,15,1,0,0,yes
@asvincent,21,463,0,7,0,0,0,6,2,0,0,yes
@Bobby_Channell,564,527,0,11,0,0,0,11,3,0,0,yes
@Megankatie3,305,405,0,4,0,0,0,2,2,0,0,yes
@nursealissa,22,49,0,1,0,1,0,6,2,0,0,yes
@fullyloadedshit,79,584,3,0,2,0,0,6,1,1,0,yes
@iamrhaiii,175,387,0,8,0,0,0,9,2,0,0,yes
@Colvil_Star,87,158,1,9,1,1,0,17,2,0,0,yes
@kfish_11,248,293,0,3,0,0,0,1,2,0,0,yes
@maalim_,107,772,0,0,0,1,1,15,2,1,0,yes
@MagusTycho,49,41,2,8,1,1,0,11,1,0,0,yes
@tamapiyo_icg,107,173,0,2,0,0,0,1,0,15,2,no
@callietay,240,174,2,6,0,2,0,16,2,0,0,yes
@galekristine,209,292,1,0,1,0,0,6,2,0,0,yes
@shamayel411,870,1996,2,0,1,0,0,2,1,1,0,yes
@bduncan09,41,73,3,1,0,7,0,13,2,0,0,yes
@krockrn,24,64,0,2,0,1,1,9,1,1,0,yes
@SarahELipinski,20,85,2,0,0,1,0,9,2,0,0,yes
@12nurseE,34,34,1,13,1,0,0,3,0,10,2,no
@eternallyjosie,173,273,0,0,0,1,0,4,2,0,0,yes
@natie15_24,550,519,0,5,0,0,0,4,2,0,0,yes
@PinkAngelNans,13,97,1,7,1,0,0,7,3,0,0,yes
@Chrissy572,36,257,1,2,1,1,0,8,2,0,0,yes
@JeannaThomson,35,243,0,0,0,1,0,9,1,0,0,yes
@elms51,334,1024,1,1,1,0,0,12,2,1,0,yes
@KarrieHealy,809,921,1,4,0,0,0,9,2,0,0,yes
@1BeautifulLady_,370,763,0,14,0,0,0,13,1,0,0,yes
@Vanz_Mae,152,173,1,25,0,0,0,16,2,0,0,yes
@azuzzz,12,150,0,1,0,1,0,7,2,0,0,yes
@alex_wesely15,508,443,0,2,0,0,0,8,2,1,0,yes
@Sini_H,59,124,0,1,0,0,0,6,1,0,0,yes
@uhobo,31,438,0,1,0,1,0,2,2,1,0,yes
@IvoryNurse,176,35,2,5,1,0,0,18,2,0,0,yes
@JordannnnMonroe,182,338,0,2,0,2,0,5,1,1,0,yes
@GusDwick,213,191,1,1,1,1,0,8,1,0,0,yes
@ahmadmdaihli,397,128,5,4,4,2,1,13,0,4,1,no
@RedDirtNurse,37,93,2,0,3,0,0,1,0,2,2,no
@mharafaye,18,162,0,1,0,0,0,6,1,0,0,yes
@GodonMadock,1109,1338,0,0,0,0,3,3,0,12,2,no
@haleyf21,123,313,1,2,0,0,0,11,2,0,0,yes
@Katiexo8,53,214,0,7,0,0,0,6,2,0,0,yes
@yusausa226,879,782,1,10,1,0,0,3,0,7,0,no
@ANACalifornia,211,325,0,8,0,0,0,7,1,0,0,yes
@TXMichelle68,795,993,1,8,0,0,0,20,2,1,0,yes
@trinz,114,283,0,12,0,0,0,14,2,0,0,yes
@AasaBorg,14,44,0,1,0,0,0,4,1,0,0,yes
@BrookeNurse,341,90,0,2,0,0,0,1,1,3,1,no
@schubon,37,202,0,13,0,1,0,19,2,0,0,yes
@EmilyGHackett2,41,165,0,10,0,0,0,10,3,0,0,yes
@mommaclare,107,247,3,1,1,1,0,9,1,0,0,yes
@HospitalSafety,652,65,0,15,0,0,0,9,0,13,1,no
@sierragray14,605,1040,0,0,0,1,0,2,1,0,0,yes
@maggiefeith,79,172,0,3,0,0,0,11,2,0,0,yes
@Cara_Martinez_,629,503,4,7,1,1,0,17,2,0,0,yes
@daclnc,258,634,0,5,0,2,0,16,2,0,0,yes
@BA8YDOLLROCKS,815,2007,2,7,1,0,0,23,1,2,0,yes
@arichan7622,250,258,0,12,0,0,0,3,0,13,0,no
@chweetness18,127,277,1,0,0,1,1,20,2,1,0,yes
@katmirandaaa,127,509,0,3,0,0,0,6,1,0,0,yes
@byuntaengoo09,131,1187,0,14,0,1,0,17,2,0,0,yes
@MaAdDiiE_SMiTh,896,718,0,5,0,0,0,7,1,0,0,yes
@ryansamson,95,318,1,13,0,0,0,17,2,0,0,yes
@27shandy,68,86,0,12,0,0,0,12,1,0,0,yes
@EGEALeadership,232,21,0,0,0,0,1,3,0,10,1,no
@Amy_Lou1992,64,91,0,10,2,1,0,28,2,0,0,yes
@kaylyheuven,151,157,0,10,0,0,0,10,1,0,0,yes
@skyebo55,32,32,0,11,0,0,1,12,2,0,0,yes
@berniewoodman,292,227,0,2,0,0,0,2,2,0,0,yes
@KristaA,93,238,0,0,0,2,0,3,1,0,0,yes
@NurseAmyIBCLC,599,165,0,17,0,0,0,13,3,0,0,yes
@aaliston317,157,145,0,3,0,0,0,9,2,0,0,yes
@0216Maekawa,218,263,0,3,0,0,0,2,1,0,0,yes
@azziraknarf,51,112,0,2,0,0,0,1,2,0,0,yes
@VUAngela85,171,856,0,9,0,2,0,15,1,0,0,yes
@charly_warly,289,158,0,6,0,1,0,7,2,0,0,yes
@shabbarankine,872,1762,0,4,0,1,0,11,2,0,0,yes
@DwianRini,209,192,0,5,0,0,0,0,0,3,1,no
@marymcbride,58,165,1,4,0,0,0,16,2,0,0,yes
@julehbee,179,276,1,6,0,1,0,6,2,0,0,yes
@nietwestbos,1320,2002,0,3,0,0,0,9,2,0,0,yes
@haitiandva86,33,143,1,4,0,0,0,20,2,0,0,yes
@Payton_marie96,113,292,0,1,0,0,0,2,1,0,0,yes
@Kathlee18853146,48,33,0,4,0,0,0,3,2,0,0,yes
@Kels_hollis,790,1021,0,6,0,2,0,20,2,0,0,yes
@nini_smr,479,699,0,14,0,0,0,0,0,8,2,no
@jrfreerun,82,314,0,6,0,0,0,9,2,0,0,yes
@spj230974,11,42,0,2,1,0,0,18,2,1,0,yes
@annisa94_annisa,93,254,0,14,0,1,0,19,2,0,0,yes
@EndhFeraPratiwi,268,262,0,1,0,0,0,4,3,0,0,yes
@AnitaSiviwe,1204,1067,0,5,0,0,0,5,1,0,0,yes
@sandtats,266,518,0,1,0,2,0,13,2,0,0,yes
@NeonSprinkles1,45,261,1,2,1,1,0,13,2,0,0,yes
@ricoheje,35,54,0,0,0,0,0,4,2,0,0,yes
@laceybrianna15,173,186,0,3,0,1,0,8,1,0,0,yes
@jmrn29,35,43,0,4,0,0,0,4,2,0,0,yes
@ayaaya180620,324,282,0,11,0,0,0,1,0,12,1,no
@triksitaaa,282,211,1,1,1,0,0,3,2,0,0,yes
@mirandajo_2013,83,314,0,8,0,0,0,8,3,0,0,yes
@Ms_Berry55,392,385,0,3,0,0,0,5,1,0,0,yes
@JanetteOgnase,35,42,2,2,2,0,0,10,2,1,0,yes
@celdiiimayyy,232,195,0,2,0,0,0,7,3,0,0,yes
@nirachanurse,45,120,0,0,0,0,0,0,0,0,0,no
@Rajanikarki2013,111,431,4,6,2,3,0,17,2,0,0,yes
@NovalinQuinshan,67,192,0,1,0,0,0,2,1,1,0,yes
@laurgabrielle,205,230,0,4,0,2,1,12,1,0,0,yes
@merveertugrull,279,175,0,7,0,0,0,5,2,0,0,yes
@mphoneo3,55,132,0,1,0,0,0,2,2,0,0,yes
@amidgetcatcherz,1,7,1,1,0,0,0,9,2,0,0,yes
@realjoseph21,8,127,0,11,0,0,0,12,3,0,0,yes
@WesleyAprilS,108,573,0,1,0,0,0,2,2,0,0,yes
@Billie_McColl,131,375,6,3,3,0,0,22,2,1,0,yes
@oraoctavianibpt,283,57,1,4,1,3,0,8,1,0,0,yes
@rachael2906,48,101,0,1,0,0,0,5,2,0,0,yes
@ora_dall,130,198,0,5,0,1,0,12,2,0,0,yes
@SaraKendle,266,603,1,0,1,2,0,8,2,0,0,yes
@emjordan11,650,438,2,11,1,0,0,15,2,0,0,yes
@ComTechWV,178,1078,1,8,1,1,0,5,0,11,1,no
@jellynurse,145,724,0,2,0,0,0,1,2,0,0,yes
@inscolph,82,156,0,5,0,0,0,8,2,0,0,yes
@llisalang,9,27,2,9,0,0,0,20,2,1,0,yes
@janaanseth,116,219,0,5,0,0,0,9,1,0,0,yes
@_MariaAlfonso_,258,570,0,9,0,0,0,17,2,0,0,yes
@pattibrooks8486,24,73,0,0,0,2,0,5,2,0,1,yes
@Jmillie10,71,88,1,6,0,1,1,20,2,0,0,yes
@OzGirlinEire,76,319,2,3,1,2,0,22,2,3,0,yes
@Sammie_Ahern,482,446,1,8,1,0,0,16,1,0,0,yes
@Moniprincezz,261,302,0,0,0,0,0,9,1,0,0,yes
@johnrande,73,80,0,2,0,0,0,7,3,0,0,yes
@PiamMs,975,1856,1,3,0,1,0,18,1,3,0,yes
@andrewatherton7,114,68,2,3,0,1,0,14,2,0,0,yes
@adropinmyocean,497,369,2,7,2,1,0,22,1,0,0,yes
@PANACRNA,139,21,0,9,1,0,1,8,0,2,1,no
@camerzmarie,31,188,3,1,3,2,1,15,3,1,0,yes
@GlynisBenett,190,364,1,1,0,1,0,7,2,0,0,yes
@PrinceNemoMmB,222,1359,0,14,0,0,0,23,1,0,0,yes
@_BeautifulTy,488,502,0,15,0,0,0,7,4,0,0,yes
@Gemma_WT,106,156,4,4,2,0,0,14,3,2,0,yes
@delaygrace,13,70,1,6,0,1,0,15,2,0,0,yes
@GentryBrittany,578,643,2,10,0,2,0,20,2,0,0,yes
@Belle_Gallemit,55,81,0,12,0,0,0,11,3,0,0,yes
@ChristyAshleigh,146,173,1,6,0,0,0,10,2,0,0,yes
@StaceyyBown,73,113,3,3,1,3,0,9,2,0,0,yes
@LovelaceEnterP_,368,252,0,7,0,0,0,3,0,11,2,no
@KarenhOney14,4,24,2,9,1,4,0,19,3,0,0,yes
@eenerren,105,186,0,6,1,0,1,12,2,1,0,yes
@LacedToHisHeart,257,185,0,7,0,0,0,13,2,0,0,yes
@Kulinerunited,59,114,0,10,0,0,0,8,2,0,0,yes
@itzmeleamay,52,162,0,5,0,0,0,4,3,0,0,yes
@anyalejna,13,37,0,2,0,0,0,12,1,0,0,yes
@pichit_dara,18,64,0,1,0,0,0,2,2,0,0,yes
@Sammy_Kae1995,53,191,1,5,1,1,0,9,2,0,0,yes
@kirstenlh23,1999,1043,1,5,0,2,1,13,2,0,0,yes
@DESTINY_NYCOLE,521,493,1,5,0,1,0,10,1,0,0,yes
@Damnbaby2009stl,406,985,0,15,0,0,0,10,1,1,0,yes
@WayCoolNurse,110,322,2,0,1,0,0,4,1,0,0,yes
@aymzko,99,241,1,4,1,1,0,20,2,1,0,yes
@shanika_dawnn,191,194,5,4,4,0,1,15,1,2,0,yes
@Lyjolu,219,642,1,2,0,1,1,8,0,2,2,no
@sjgus,20,64,3,2,1,2,0,23,2,1,0,yes
@KaitlynPeffer,320,487,1,0,0,2,2,7,0,3,0,no
@smith_shamica,49,96,0,2,0,2,0,22,1,1,0,yes
@Livvers,384,651,1,6,1,1,0,22,2,0,0,yes
@scotintheland,236,602,0,0,0,0,0,5,2,0,0,yes
@sheelagh87,106,483,0,14,0,1,0,16,3,1,0,yes
@girlafraid13,31,43,1,0,1,0,0,5,2,1,0,yes
@rebeccajane26,30,143,1,3,1,0,0,6,2,0,0,yes
@izurollin_,1717,936,4,5,3,1,0,24,3,0,0,yes
@ckebunbun,229,158,0,2,0,0,0,1,0,1,1,no
@TheLoneStar_,324,325,0,1,0,0,0,0,0,1,1,no
@Nokelainen82,34,60,0,3,0,0,0,5,2,0,0,yes
@micahabrooks101,95,367,0,5,0,0,0,10,1,0,0,yes
@tash_blake,13,147,1,4,0,1,0,20,1,1,0,yes
@mackintosh_mrs,241,454,1,2,1,0,0,21,1,2,0,yes
@Kileyjorden134,495,160,0,5,0,0,0,3,2,0,0,yes
@DesiPrice2015,392,212,0,5,0,0,0,4,2,0,0,yes
@Dream_Honey,14,197,1,6,1,0,0,8,2,1,0,yes
@m_Rajon,126,88,0,16,0,0,0,12,2,0,0,yes
